Jun/25/2018 17:39:53
epoches, top1
Jun/25/2018 17:40:21
epoches, top1
Jun/25/2018 17:41:06
epoches, top1
1180,tensor(57.8125, device='cuda:0')
1185,tensor(57.1181, device='cuda:0')
1190,tensor(56.0764, device='cuda:0')
1195,tensor(56.2500, device='cuda:0')
1200,tensor(56.7708, device='cuda:0')
1205,tensor(56.5972, device='cuda:0')
1210,tensor(55.9028, device='cuda:0')
1215,tensor(55.2083, device='cuda:0')
1220,tensor(54.5139, device='cuda:0')
1225,tensor(55.7292, device='cuda:0')
1230,tensor(56.4236, device='cuda:0')
1235,tensor(54.8611, device='cuda:0')
1240,tensor(55.9028, device='cuda:0')
1245,tensor(55.9028, device='cuda:0')
1250,tensor(54.5139, device='cuda:0')
1255,tensor(54.5139, device='cuda:0')
1260,tensor(57.1181, device='cuda:0')
1265,tensor(55.2083, device='cuda:0')
1270,tensor(54.8611, device='cuda:0')
1275,tensor(55.7292, device='cuda:0')
1280,tensor(56.5972, device='cuda:0')
1285,tensor(55.7292, device='cuda:0')
1290,tensor(56.5972, device='cuda:0')
1295,tensor(55.0347, device='cuda:0')
1300,tensor(56.0764, device='cuda:0')
1305,tensor(55.7292, device='cuda:0')
1310,tensor(55.7292, device='cuda:0')
1315,tensor(54.5139, device='cuda:0')
1320,tensor(55.5556, device='cuda:0')
1325,tensor(55.5556, device='cuda:0')
1330,tensor(55.5556, device='cuda:0')
1335,tensor(56.0764, device='cuda:0')
1340,tensor(56.0764, device='cuda:0')
1345,tensor(56.9444, device='cuda:0')
1350,tensor(56.7708, device='cuda:0')
1355,tensor(57.4653, device='cuda:0')
1360,tensor(54.8611, device='cuda:0')
1365,tensor(55.9028, device='cuda:0')
1370,tensor(57.4653, device='cuda:0')
1375,tensor(56.2500, device='cuda:0')
1380,tensor(55.2083, device='cuda:0')
1385,tensor(56.4236, device='cuda:0')
1390,tensor(55.9028, device='cuda:0')
1395,tensor(55.7292, device='cuda:0')
1400,tensor(55.7292, device='cuda:0')
1405,tensor(55.7292, device='cuda:0')
1410,tensor(57.9861, device='cuda:0')
1415,tensor(56.7708, device='cuda:0')
1420,tensor(55.3819, device='cuda:0')
1425,tensor(55.9028, device='cuda:0')
1430,tensor(55.2083, device='cuda:0')
1435,tensor(55.2083, device='cuda:0')
1440,tensor(56.0764, device='cuda:0')
1445,tensor(55.9028, device='cuda:0')
1450,tensor(54.5139, device='cuda:0')
1455,tensor(56.9444, device='cuda:0')
1460,tensor(55.2083, device='cuda:0')
1465,tensor(58.8542, device='cuda:0')
1470,tensor(54.8611, device='cuda:0')
1475,tensor(54.5139, device='cuda:0')
1480,tensor(56.5972, device='cuda:0')
1485,tensor(56.4236, device='cuda:0')
1490,tensor(55.9028, device='cuda:0')
1495,tensor(57.6389, device='cuda:0')
1500,tensor(56.2500, device='cuda:0')
1505,tensor(54.8611, device='cuda:0')
1510,tensor(55.2083, device='cuda:0')
1515,tensor(54.5139, device='cuda:0')
1520,tensor(56.0764, device='cuda:0')
1525,tensor(55.2083, device='cuda:0')
1530,tensor(55.5556, device='cuda:0')
