Jun/21/2018 13:51:28
epoches, top1
1690,tensor(1.0246, device='cuda:0')
1695,tensor(52.4590, device='cuda:0')
1700,tensor(52.4590, device='cuda:0')
1705,tensor(0., device='cuda:0')
1710,tensor(0., device='cuda:0')
1715,tensor(52.4590, device='cuda:0')
1720,tensor(50.0000, device='cuda:0')
1725,tensor(0.6148, device='cuda:0')
1730,tensor(0., device='cuda:0')
1735,tensor(0., device='cuda:0')
1740,tensor(0.6148, device='cuda:0')
1745,tensor(0., device='cuda:0')
1750,tensor(11.8852, device='cuda:0')
1755,tensor(0.2049, device='cuda:0')
1760,tensor(21.7213, device='cuda:0')
1765,tensor(17.8279, device='cuda:0')
1770,tensor(0., device='cuda:0')
1775,tensor(16.1885, device='cuda:0')
1780,tensor(50.2049, device='cuda:0')
1785,tensor(0., device='cuda:0')
1790,tensor(3.0738, device='cuda:0')
1795,tensor(0., device='cuda:0')
1800,tensor(1.2295, device='cuda:0')
1805,tensor(0.4098, device='cuda:0')
1810,tensor(4.3033, device='cuda:0')
1815,tensor(0.6148, device='cuda:0')
1820,tensor(28.0738, device='cuda:0')
1825,tensor(0.6148, device='cuda:0')
1830,tensor(46.3115, device='cuda:0')
1835,tensor(9.0164, device='cuda:0')
1840,tensor(0., device='cuda:0')
1845,tensor(0.2049, device='cuda:0')
1850,tensor(2.8689, device='cuda:0')
1855,tensor(0., device='cuda:0')
1860,tensor(52.0492, device='cuda:0')
1865,tensor(13.7295, device='cuda:0')
1870,tensor(9.0164, device='cuda:0')
1875,tensor(0.4098, device='cuda:0')
1880,tensor(2.4590, device='cuda:0')
1885,tensor(0., device='cuda:0')
1890,tensor(16.8033, device='cuda:0')
1895,tensor(8.8115, device='cuda:0')
1900,tensor(0., device='cuda:0')
1905,tensor(5.3279, device='cuda:0')
1910,tensor(0., device='cuda:0')
1915,tensor(16.1885, device='cuda:0')
1920,tensor(3.0738, device='cuda:0')
1925,tensor(0., device='cuda:0')
1930,tensor(20.0820, device='cuda:0')
1935,tensor(51.8443, device='cuda:0')
1940,tensor(0., device='cuda:0')
1945,tensor(0., device='cuda:0')
1950,tensor(29.5082, device='cuda:0')
1955,tensor(29.0984, device='cuda:0')
1960,tensor(5.9426, device='cuda:0')
1965,tensor(0., device='cuda:0')
1970,tensor(0., device='cuda:0')
1975,tensor(0., device='cuda:0')
1980,tensor(39.3443, device='cuda:0')
1985,tensor(6.3525, device='cuda:0')
1990,tensor(5.7377, device='cuda:0')
1995,tensor(1.4344, device='cuda:0')
2000,tensor(3.4836, device='cuda:0')
2005,tensor(29.9180, device='cuda:0')
2010,tensor(42.2131, device='cuda:0')
2015,tensor(15.1639, device='cuda:0')
2020,tensor(5.7377, device='cuda:0')
2025,tensor(24.5902, device='cuda:0')
2030,tensor(1.0246, device='cuda:0')
2035,tensor(3.0738, device='cuda:0')
2040,tensor(0., device='cuda:0')
2045,tensor(0., device='cuda:0')
2050,tensor(16.1885, device='cuda:0')
2055,tensor(0., device='cuda:0')
2060,tensor(14.7541, device='cuda:0')
2065,tensor(0., device='cuda:0')
2070,tensor(0., device='cuda:0')
2075,tensor(48.1557, device='cuda:0')
2080,tensor(0.2049, device='cuda:0')
2085,tensor(10.0410, device='cuda:0')
2090,tensor(0.6148, device='cuda:0')
2095,tensor(0., device='cuda:0')
2100,tensor(4.7131, device='cuda:0')
2105,tensor(0., device='cuda:0')
2110,tensor(0., device='cuda:0')
2115,tensor(10.0410, device='cuda:0')
2120,tensor(52.0492, device='cuda:0')
2125,tensor(1.8443, device='cuda:0')
2130,tensor(31.3525, device='cuda:0')
2135,tensor(45.4918, device='cuda:0')
2140,tensor(0., device='cuda:0')
2145,tensor(32.9918, device='cuda:0')
2150,tensor(14.9590, device='cuda:0')
2155,tensor(1.0246, device='cuda:0')
2160,tensor(0., device='cuda:0')
2165,tensor(0., device='cuda:0')
2170,tensor(32.1721, device='cuda:0')
2175,tensor(1.0246, device='cuda:0')
